timestamp,close,high,low,trade_count,open,volume,vwap,symbol
2024-10-09 11:30:00+02:00,3.93,3.93,3.93,1,3.93,836,3.93,WULF
2024-10-09 12:00:00+02:00,3.94,3.94,3.94,1,3.94,125,3.94,WULF
2024-10-09 12:30:00+02:00,3.93,3.95,3.92,7,3.95,472,3.930928,WULF
2024-10-09 13:00:00+02:00,3.94,3.94,3.935,10,3.94,2625,3.939587,WULF
2024-10-09 13:30:00+02:00,3.94,3.94,3.93,5,3.93,400,3.935556,WULF
2024-10-09 14:00:00+02:00,3.94,3.95,3.92,82,3.93,21882,3.931451,WULF
2024-10-09 14:30:00+02:00,3.8999,3.92,3.89,98,3.92,40655,3.904945,WULF
2024-10-09 15:00:00+02:00,3.89,3.93,3.89,85,3.8997,58295,3.905262,WULF
2024-10-09 15:30:00+02:00,3.865,3.91,3.77,4847,3.91,2271823,3.842719,WULF
2024-10-09 16:00:00+02:00,3.8399,3.92,3.8224,3669,3.86,1207642,3.876969,WULF
2024-10-09 16:30:00+02:00,3.805,3.85,3.79,3663,3.835,1047196,3.811098,WULF
2024-10-09 17:00:00+02:00,3.85,3.87,3.8,3867,3.806,981108,3.842203,WULF
2024-10-09 17:30:00+02:00,3.855,3.9,3.85,3788,3.855,1034862,3.880152,WULF
2024-10-09 18:00:00+02:00,3.855,3.86,3.8,2993,3.855,768894,3.827885,WULF
2024-10-09 18:30:00+02:00,3.9074,3.915,3.85,2632,3.86,667673,3.890385,WULF
2024-10-09 19:00:00+02:00,3.895,3.905,3.86,3113,3.9001,665731,3.885638,WULF
2024-10-09 19:30:00+02:00,3.875,3.9,3.85,2510,3.895,456206,3.871675,WULF
2024-10-09 20:00:00+02:00,3.89,3.9,3.85,2446,3.875,485023,3.865538,WULF
2024-10-09 20:30:00+02:00,3.795,3.89,3.79,4204,3.885,1519443,3.835532,WULF
2024-10-09 21:00:00+02:00,3.795,3.82,3.78,3263,3.795,967372,3.797952,WULF
2024-10-09 21:30:00+02:00,3.83,3.83,3.76,6909,3.795,2011378,3.796226,WULF
2024-10-09 22:00:00+02:00,3.84,3.86,3.82,45,3.82,643310,3.82037,WULF
2024-10-09 22:30:00+02:00,3.83,3.84,3.81,62,3.83,89077,3.823542,WULF
2024-10-09 23:00:00+02:00,3.83,3.83,3.82,16,3.83,5259,3.829106,WULF
2024-10-09 23:30:00+02:00,3.83,3.8499,3.8203,11,3.8295,4270,3.832305,WULF
2024-10-10 00:00:00+02:00,3.8107,3.83,3.81,24,3.8299,37993,3.812442,WULF
2024-10-10 00:30:00+02:00,3.8108,3.83,3.81,13,3.81,2657,3.816179,WULF
2024-10-10 01:00:00+02:00,3.82,3.84,3.82,4,3.82,1925,3.821039,WULF
2024-10-10 01:30:00+02:00,3.84,3.84,3.81,25,3.82,12522,3.830544,WULF
2024-10-10 10:00:00+02:00,3.83,3.87,3.83,23,3.87,2235,3.847937,WULF
2024-10-10 10:30:00+02:00,3.8,3.82,3.8,66,3.82,5905,3.807894,WULF
2024-10-10 11:00:00+02:00,3.81,3.81,3.81,13,3.81,1585,3.81,WULF
2024-10-10 11:30:00+02:00,3.81,3.81,3.81,3,3.81,398,3.81,WULF
2024-10-10 12:00:00+02:00,3.81,3.81,3.81,15,3.81,2874,3.81,WULF
2024-10-10 12:30:00+02:00,3.81,3.81,3.81,8,3.81,400,3.81,WULF
2024-10-10 13:00:00+02:00,3.83,3.85,3.82,34,3.82,8823,3.838341,WULF
2024-10-10 13:30:00+02:00,3.83,3.84,3.83,30,3.84,16717,3.834187,WULF
2024-10-10 14:00:00+02:00,4.0,4.16,3.8195,1058,3.84,293748,3.968546,WULF
2024-10-10 14:30:00+02:00,4.05,4.08,3.86,714,4.0,494403,3.996278,WULF
2024-10-10 15:00:00+02:00,4.02,4.17,3.98,1201,4.05,732437,4.090624,WULF
2024-10-10 15:30:00+02:00,3.855,4.07,3.8,11652,4.01,4989246,3.925953,WULF
2024-10-10 16:00:00+02:00,3.9,3.935,3.82,5270,3.855,1435517,3.887021,WULF
2024-10-10 16:30:00+02:00,3.9,3.92,3.86,4329,3.905,943714,3.887558,WULF
2024-10-10 17:00:00+02:00,3.975,4.0,3.8705,4444,3.895,1123041,3.943119,WULF
2024-10-10 17:30:00+02:00,4.0,4.07,3.96,4356,3.975,1964876,4.012245,WULF
2024-10-10 18:00:00+02:00,3.9987,4.0368,3.95,3787,4.0,848528,3.992417,WULF
2024-10-10 18:30:00+02:00,3.975,4.03,3.96,3191,4.0,828947,3.997829,WULF
2024-10-10 19:00:00+02:00,3.9829,4.0,3.94,2207,3.975,399687,3.97007,WULF
2024-10-10 19:30:00+02:00,4.005,4.03,3.98,2838,3.985,673791,4.002077,WULF
2024-10-10 20:00:00+02:00,3.9329,4.01,3.93,2743,4.005,709849,3.963517,WULF
2024-10-10 20:30:00+02:00,3.945,3.97,3.93,2124,3.93,553865,3.946425,WULF
